,win rate,ADC,SUPPORT
0,51.14503816793893,Ashe,Alistar
1,43.04635761589404,Ashe,Annie
2,49.84126984126984,Ashe,Bard
3,50.51740357478833,Ashe,Blitzcrank
4,53.84615384615385,Ashe,Brand
5,50.0,Ashe,Braum
6,55.81395348837209,Ashe,Fiddlesticks
7,50.0,Ashe,Galio
8,53.973509933774835,Ashe,Janna
9,45.84070796460177,Ashe,Karma
10,52.030735455543365,Ashe,Leona
11,49.618902439024396,Ashe,Lulu
12,48.82943143812709,Ashe,Lux
13,53.37837837837838,Ashe,Malzahar
14,47.5609756097561,Ashe,Maokai
16,48.40085287846482,Ashe,Morgana
17,50.46296296296296,Ashe,Nami
19,47.05159705159705,Ashe,Rakan
20,54.96402877697841,Ashe,Sona
21,48.857142857142854,Ashe,Soraka
22,46.22222222222222,Ashe,Tahm Kench
23,45.30386740331492,Ashe,Taric
24,50.0661084178052,Ashe,Thresh
25,48.80952380952381,Ashe,Veigar
26,50.49019607843137,Ashe,VelKoz
27,58.16733067729084,Ashe,Zilean
28,46.76549865229111,Ashe,Zyra
29,51.8348623853211,Caitlyn,Alistar
30,51.02040816326531,Caitlyn,Annie
31,53.806228373702425,Caitlyn,Bard
32,51.31578947368421,Caitlyn,Blitzcrank
33,50.87187263078089,Caitlyn,Brand
34,51.73315892740354,Caitlyn,Braum
35,50.81967213114754,Caitlyn,Fiddlesticks
36,46.288209606986904,Caitlyn,Galio
38,53.35515548281505,Caitlyn,Janna
39,49.76496396114071,Caitlyn,Karma
40,52.32558139534884,Caitlyn,Leona
41,50.466045272969374,Caitlyn,Lulu
42,45.875542691751086,Caitlyn,Lux
44,50.9493670886076,Caitlyn,Malzahar
45,51.57232704402516,Caitlyn,Maokai
47,53.17157712305026,Caitlyn,Morgana
48,50.71698113207547,Caitlyn,Nami
52,43.71836171191901,Caitlyn,Rakan
55,51.97831978319783,Caitlyn,Sona
56,51.15492957746479,Caitlyn,Soraka
57,49.159663865546214,Caitlyn,Tahm Kench
59,49.88452655889146,Caitlyn,Taric
61,50.98600508905853,Caitlyn,Thresh
62,50.0,Caitlyn,Veigar
63,49.904761904761905,Caitlyn,VelKoz
65,51.0556621880998,Caitlyn,Zilean
66,50.13003901170351,Caitlyn,Zyra
72,48.10126582278481,Draven,Alistar
73,49.166666666666664,Draven,Annie
74,54.83870967741935,Draven,Bard
75,52.46212121212122,Draven,Blitzcrank
76,53.68421052631579,Draven,Brand
77,46.0446247464503,Draven,Braum
78,54.41176470588235,Draven,Fiddlesticks
79,47.368421052631575,Draven,Galio
80,54.726688102893895,Draven,Janna
81,50.0,Draven,Karma
82,49.17853231106243,Draven,Leona
83,50.3735325506937,Draven,Lulu
84,51.69491525423729,Draven,Lux
85,46.666666666666664,Draven,Malzahar
86,52.72206303724928,Draven,Maokai
87,53.54330708661418,Draven,Morgana
88,51.72018348623853,Draven,Nami
90,48.306332842415316,Draven,Rakan
91,57.19237435008665,Draven,Sona
92,49.92784992784993,Draven,Soraka
93,46.26865671641791,Draven,Tahm Kench
94,59.68992248062015,Draven,Taric
95,55.04151838671412,Draven,Thresh
96,52.23880597014925,Draven,VelKoz
97,60.824742268041234,Draven,Zilean
98,54.56674473067916,Draven,Zyra
99,46.198830409356724,Ezreal,Alistar
100,41.040462427745666,Ezreal,Annie
101,44.74576271186441,Ezreal,Bard
102,47.53846153846154,Ezreal,Blitzcrank
103,48.44632768361582,Ezreal,Brand
104,46.29156010230179,Ezreal,Braum
105,45.19230769230769,Ezreal,Fiddlesticks
106,40.54054054054054,Ezreal,Galio
108,49.2063492063492,Ezreal,Janna
109,46.39321074964639,Ezreal,Karma
110,47.94520547945205,Ezreal,Leona
111,44.806338028169016,Ezreal,Lulu
112,39.800995024875625,Ezreal,Lux
114,38.41463414634146,Ezreal,Malzahar
115,50.663129973474796,Ezreal,Maokai
117,44.89051094890511,Ezreal,Morgana
118,44.122657580919935,Ezreal,Nami
120,40.76555023923445,Ezreal,Rakan
122,47.78856526429342,Ezreal,Sona
123,49.24568965517241,Ezreal,Soraka
124,37.96296296296296,Ezreal,Tahm Kench
125,44.91525423728814,Ezreal,Taric
127,45.16468114926419,Ezreal,Thresh
128,43.75,Ezreal,Veigar
129,39.24528301886793,Ezreal,VelKoz
130,50.0,Ezreal,Zilean
131,47.368421052631575,Ezreal,Zyra
137,46.52014652014652,Jhin,Alistar
138,54.761904761904766,Jhin,Annie
139,46.32911392405064,Jhin,Bard
140,50.48275862068966,Jhin,Blitzcrank
141,50.700280112044815,Jhin,Brand
142,45.83333333333333,Jhin,Braum
143,49.2063492063492,Jhin,Galio
144,52.45664739884393,Jhin,Janna
145,44.294294294294296,Jhin,Karma
146,50.0,Jhin,Leona
147,44.751381215469614,Jhin,Lulu
148,38.32599118942731,Jhin,Lux
149,48.91304347826087,Jhin,Malzahar
150,46.666666666666664,Jhin,Maokai
151,45.08076358296623,Jhin,Morgana
152,47.96296296296296,Jhin,Nami
154,41.71322160148976,Jhin,Rakan
155,50.33407572383074,Jhin,Sona
156,52.44215938303341,Jhin,Soraka
157,42.33576642335766,Jhin,Tahm Kench
158,44.73684210526316,Jhin,Taric
159,45.19298245614035,Jhin,Thresh
160,49.107142857142854,Jhin,VelKoz
161,46.26865671641791,Jhin,Zilean
162,47.87472035794183,Jhin,Zyra
163,50.9765625,Jinx,Alistar
