,win rate,hero1,hero2
648,56.32911392405063,Aatrox , Lee Sin
649,59.882005899705014,Amumu , Elise
650,54.35897435897436,Amumu , Evelynn
651,52.1505376344086,Amumu , Gragas
652,53.59848484848485,Amumu , Graves
653,47.97297297297297,Amumu , Hecarim
654,41.02564102564102,Amumu , Ivern
655,51.14942528735632,Amumu , Jarvan IV
656,50.72992700729927,Amumu , Jax
657,53.04878048780488,Amumu , KhaZix
658,55.62326869806095,Amumu , Lee Sin
659,49.93215739484396,Amumu , Master Yi
660,47.953216374269005,Amumu , Nocturne
661,58.16326530612245,Amumu , Rengar
662,50.140845070422536,Amumu , Sejuani
663,53.380782918149464,Amumu , Shaco
664,54.37499999999999,Amumu , Shyvana
665,50.35294117647059,Amumu , Vi
666,49.40944881889764,Amumu , Warwick
667,51.49425287356322,Amumu , Xin Zhao
668,51.118210862619804,Amumu , Zac
669,48.0,ChoGath , Lee Sin
670,48.92086330935252,Diana , Lee Sin
671,44.89795918367347,Ekko , Lee Sin
672,40.117994100294986,Elise , Amumu
673,46.25,Elise , Evelynn
674,48.93617021276596,Elise , Gragas
675,51.320754716981135,Elise , Graves
676,47.744360902255636,Elise , Hecarim
677,45.27027027027027,Elise , Ivern
678,49.152542372881356,Elise , Jarvan IV
679,52.42290748898678,Elise , Jax
680,45.33152909336942,Elise , KhaZix
681,51.67300380228137,Elise , Lee Sin
682,47.94303797468354,Elise , Master Yi
683,59.76331360946746,Elise , Nidalee
684,49.700598802395206,Elise , Nocturne
685,36.60130718954248,Elise , Nunu
686,58.490566037735846,Elise , Rengar
687,50.32258064516129,Elise , Sejuani
688,44.027303754266214,Elise , Shaco
689,45.45454545454545,Elise , Twitch
690,45.3416149068323,Elise , Vi
691,46.45669291338583,Elise , Warwick
692,46.89655172413793,Elise , Xin Zhao
693,47.13541666666667,Elise , Zac
694,45.64102564102564,Evelynn , Amumu
695,53.75,Evelynn , Elise
696,51.53061224489795,Evelynn , Gragas
697,51.63043478260869,Evelynn , Graves
698,50.31055900621118,Evelynn , Hecarim
699,42.66666666666667,Evelynn , Jax
700,48.23848238482385,Evelynn , KhaZix
701,48.5972850678733,Evelynn , Lee Sin
702,44.18604651162791,Evelynn , Master Yi
703,52.121212121212125,Evelynn , Sejuani
704,51.28205128205128,Evelynn , Shaco
705,52.406417112299465,Evelynn , Vi
706,45.744680851063826,Evelynn , Warwick
707,51.0,Evelynn , Xin Zhao
708,46.7032967032967,Evelynn , Zac
709,51.006711409395976,Fiddlesticks , KhaZix
710,51.61943319838057,Fiddlesticks , Lee Sin
711,48.292682926829265,Fiddlesticks , Master Yi
712,48.58757062146893,Fizz , Lee Sin
713,54.773869346733676,Galio , Lee Sin
714,47.8494623655914,Gragas , Amumu
715,51.06382978723404,Gragas , Elise
