,win rate,jungle,mid
460,53.26923076923077,Amumu,Ahri
461,53.09278350515464,Amumu,Akali
462,49.26108374384236,Amumu,Anivia
463,52.5,Amumu,Annie
464,43.75,Amumu,Azir
465,55.88235294117647,Amumu,Brand
466,59.154929577464785,Amumu,Cassiopeia
467,47.27272727272727,Amumu,Diana
468,55.0251256281407,Amumu,Ekko
469,37.34939759036144,Amumu,Ezreal
471,53.246753246753244,Amumu,Gangplank
472,59.036144578313255,Amumu,Jayce
473,55.223880597014926,Amumu,Karthus
474,46.86648501362398,Amumu,Kassadin
475,48.84318766066838,Amumu,Katarina
476,47.08520179372198,Amumu,LeBlanc
477,48.78048780487805,Amumu,Lissandra
478,55.032467532467535,Amumu,Lux
479,46.808510638297875,Amumu,Malzahar
480,45.54455445544555,Amumu,Morgana
481,52.867830423940156,Amumu,Orianna
482,40.909090909090914,Amumu,Ryze
483,52.702702702702695,Amumu,Swain
484,54.791154791154796,Amumu,Syndra
485,53.07692307692308,Amumu,Taliyah
486,57.407407407407405,Amumu,Talon
487,52.57731958762887,Amumu,Twisted Fate
488,54.22077922077923,Amumu,Veigar
489,53.398058252427184,Amumu,VelKoz
490,47.647058823529406,Amumu,Viktor
491,48.97959183673469,Amumu,Vladimir
492,56.08108108108109,Amumu,Xerath
493,55.465587044534416,Amumu,Yasuo
494,53.68421052631579,Amumu,Zed
508,49.74226804123711,Elise,Ahri
509,46.09375,Elise,Akali
510,49.282296650717704,Elise,Anivia
511,48.616600790513836,Elise,Annie
513,43.333333333333336,Elise,Azir
514,44.26229508196721,Elise,Brand
515,53.59477124183007,Elise,Cassiopeia
516,50.495049504950494,Elise,Diana
517,45.40540540540541,Elise,Ekko
520,46.19565217391305,Elise,Gangplank
521,51.2,Elise,Jayce
522,52.12765957446809,Elise,Karma
523,48.64864864864865,Elise,Karthus
524,52.930402930402934,Elise,Kassadin
525,52.04081632653062,Elise,Katarina
526,46.10591900311526,Elise,LeBlanc
527,56.79012345679012,Elise,Lissandra
529,49.50298210735586,Elise,Lux
