,win rate,hero1,hero2
1098,53.66876310272537,Ahri,Akali
1099,47.77070063694268,Ahri,Anivia
1100,47.229791099000906,Ahri,Annie
1103,55.1487414187643,Ahri,Brand
1104,54.34380776340111,Ahri,Cassiopeia
1105,57.027027027027025,Ahri,Diana
1106,54.976671850699844,Ahri,Ekko
1108,53.85281385281385,Ahri,Fizz
1114,53.15436241610738,Ahri,Kassadin
1115,56.55241935483871,Ahri,Katarina
1116,60.09345794392523,Ahri,LeBlanc
1119,51.33301017935046,Ahri,Lux
1122,53.40836012861736,Ahri,Orianna
1125,52.70137524557956,Ahri,Syndra
1126,57.9520697167756,Ahri,Taliyah
1127,53.70370370370371,Ahri,Talon
1128,49.25558312655087,Ahri,Twisted Fate
1129,53.92491467576792,Ahri,Veigar
1130,52.76381909547738,Ahri,VelKoz
1131,55.04,Ahri,Viktor
1132,52.63975155279503,Ahri,Vladimir
1133,44.773175542406314,Ahri,Xerath
1134,51.52571926765476,Ahri,Yasuo
1135,55.567685589519655,Ahri,Zed
1136,53.53356890459364,Ahri,Ziggs
1138,46.331236897274636,Akali,Ahri
1139,47.16981132075472,Akali,Annie
1140,47.73869346733669,Akali,Ekko
1141,54.88372093023256,Akali,Fizz
1142,42.934782608695656,Akali,Kassadin
1143,53.551912568306015,Akali,Katarina
1144,44.40298507462687,Akali,Lux
1145,42.679127725856695,Akali,Orianna
1146,53.333333333333336,Akali,Syndra
1147,48.484848484848484,Akali,Yasuo
1148,52.09003215434084,Akali,Zed
1149,52.22929936305732,Anivia,Ahri
1150,55.11363636363637,Anivia,Annie
1151,53.92156862745098,Anivia,Ekko
1152,51.13122171945701,Anivia,Fizz
1153,57.52895752895753,Anivia,Kassadin
1154,56.547619047619044,Anivia,Katarina
1155,57.49999999999999,Anivia,LeBlanc
1156,59.130434782608695,Anivia,Lux
1157,53.47490347490348,Anivia,Orianna
1158,48.26498422712934,Anivia,Syndra
1159,48.34437086092716,Anivia,Twisted Fate
1160,52.60663507109005,Anivia,Yasuo
1161,56.547619047619044,Anivia,Zed
1162,52.770208900999094,Annie,Ahri
1163,52.83018867924528,Annie,Akali
1164,44.88636363636363,Annie,Anivia
1165,45.2513966480447,Annie,Brand
1166,57.89473684210527,Annie,Ekko
1167,57.30858468677494,Annie,Fizz
1168,55.74712643678161,Annie,Kassadin
1169,49.705882352941174,Annie,Katarina
1170,57.25490196078431,Annie,LeBlanc
1171,49.193548387096776,Annie,Lux
1172,53.04347826086957,Annie,Orianna
1173,50.520833333333336,Annie,Syndra
1174,57.635467980295566,Annie,Twisted Fate
1175,55.172413793103445,Annie,Veigar
1176,48.60335195530726,Annie,VelKoz
1177,56.104651162790695,Annie,Yasuo
1178,56.53061224489796,Annie,Zed
1183,44.8512585812357,Brand,Ahri
1184,54.7486033519553,Brand,Annie
1185,49.2063492063492,Brand,Ekko
1186,48.1283422459893,Brand,Fizz
1187,48.04469273743017,Brand,Kassadin
1188,52.83018867924528,Brand,Katarina
1189,46.51898734177215,Brand,Lux
1190,52.472527472527474,Brand,Orianna
1191,53.42465753424658,Brand,Syndra
1192,48.25581395348838,Brand,Yasuo
1193,54.27509293680297,Brand,Zed
1194,45.65619223659889,Cassiopeia,Ahri
1195,59.756097560975604,Cassiopeia,Ekko
1196,45.36082474226804,Cassiopeia,Kassadin
1197,45.63758389261745,Cassiopeia,Katarina
1198,45.13888888888889,Cassiopeia,Lux
1199,46.948356807511736,Cassiopeia,Orianna
1200,50.0,Cassiopeia,Syndra
1201,43.292682926829265,Cassiopeia,Yasuo
1202,48.01587301587302,Cassiopeia,Zed
1203,42.972972972972975,Diana,Ahri
1204,52.348993288590606,Diana,Ekko
1205,46.03174603174603,Diana,Fizz
1206,49.44444444444444,Diana,Katarina
1207,51.35135135135135,Diana,Lux
1208,45.982142857142854,Diana,Orianna
1209,50.31055900621118,Diana,Yasuo
1210,47.57709251101321,Diana,Zed
1211,45.023328149300156,Ekko,Ahri
1212,52.26130653266332,Ekko,Akali
1213,46.07843137254902,Ekko,Anivia
1214,42.10526315789473,Ekko,Annie
1215,50.79365079365079,Ekko,Brand
1216,40.243902439024396,Ekko,Cassiopeia
1217,47.651006711409394,Ekko,Diana
1218,55.39568345323741,Ekko,Fizz
1219,45.194274028629856,Ekko,Kassadin
1220,46.984924623115575,Ekko,Katarina
1221,51.24223602484472,Ekko,LeBlanc
1222,49.49832775919732,Ekko,Lux
1223,49.943117178612056,Ekko,Orianna
1224,51.77304964539007,Ekko,Syndra
1225,45.3125,Ekko,Talon
1226,49.40239043824701,Ekko,Twisted Fate
1227,48.85245901639344,Ekko,Veigar
1228,44.776119402985074,Ekko,VelKoz
1229,58.06451612903226,Ekko,Viktor
1230,54.85436893203883,Ekko,Vladimir
1231,47.651006711409394,Ekko,Xerath
1232,50.44642857142857,Ekko,Yasuo
1233,55.51558752997602,Ekko,Zed
1234,52.659574468085104,Ekko,Ziggs
1236,46.14718614718615,Fizz,Ahri
1237,45.11627906976744,Fizz,Akali
1238,48.86877828054298,Fizz,Anivia
1239,42.69141531322506,Fizz,Annie
1240,51.87165775401069,Fizz,Brand
1241,53.96825396825397,Fizz,Diana
1242,44.60431654676259,Fizz,Ekko
1243,51.41342756183745,Fizz,Kassadin
1244,50.99502487562189,Fizz,Katarina
1245,54.3026706231454,Fizz,LeBlanc
1246,53.60983102918587,Fizz,Lux
